value,name,type,data_type
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_2,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rpi3_7,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rpi3_8,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rpi3_6,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_coral_6,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_coral_5,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_2,node,data_download
48000000,link_nuc_4,node,data_download
48000000,shared_4,shared,data_download
48000000,up_shared_4,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_nx_7,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nx_7,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nano_11,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_tx2_1,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nano_19,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nano_16,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_nx_2,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_nano_7,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_tx2_0,node,data_download
103000000,link_nuc_4,node,data_download
103000000,shared_4,shared,data_download
103000000,up_shared_4,uplink,data_download
103000000,down_shared_1,downlink,data_download
103000000,shared_1,shared,data_download
103000000,link_nx_1,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_26,node,data_download
103000000,link_nano_9,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_9,node,data_download
103000000,link_nano_14,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_14,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_18,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_18,node,data_download
103000000,link_nano_24,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
103000000,down_shared_4,downlink,data_upload
103000000,shared_4,shared,data_upload
103000000,link_nuc_4,node,data_upload
58000000,link_nuc_4,node,data_download
58000000,shared_4,shared,data_download
58000000,up_shared_4,uplink,data_download
58000000,down_shared_1,downlink,data_download
58000000,shared_1,shared,data_download
58000000,link_nano_24,node,data_download
103000000,link_nano_26,node,data_upload
103000000,shared_1,shared,data_upload
103000000,up_shared_1,uplink,data_upload
